bilbo.baggins@fotr.org;;
Time;Electrical conductivity;Fluorescence 
1980-01-01T12:00;44;26
1980-02-01T12:00;66;15
1980-03-01T12:00;8;10
1980-04-01T12:00;61;28
1980-05-01T12:00;24;27
1980-06-01T12:00;31;8
frodo.baggins@fotr.org;;
Time;Electrical conductivity;Fluorescence 
1981-01-01T12:00;51;32
1981-02-01T12:00;7;45
1981-03-01T12:00;36;15
1981-04-01T12:00;19;49
1981-05-01T12:00;1;6
1981-06-01T12:00;52;45
samwise.gamgee@fotr.org;;
Time;Electrical conductivity;Fluorescence 
1982-01-01T12:00;12;12
1982-02-01T12:00;61;1
1982-03-01T12:00;19;33
1982-04-01T12:00;5;35
1982-05-01T12:00;58;50
1982-06-01T12:00;3;15
meriadoc.brandybuck@fotr.org;;
Time;Electrical conductivity;Fluorescence 
1983-01-01T12:00;22;29
1983-02-01T12:00;47;44
1983-03-01T12:00;61;46
1983-04-01T12:00;56;23
1983-05-01T12:00;49;3
1983-06-01T12:00;40;23
peregrin.took@fotr.org;;
Time;Electrical conductivity;Fluorescence 
1984-01-01T12:00;11;22
1984-02-01T12:00;45;15
1984-03-01T12:00;44;48
1984-04-01T12:00;30;32
1984-05-01T12:00;43;43
1984-06-01T12:00;68;36
peregrin.took@fotr.org;;
Time;Electrical conductivity;Fluorescence 
1985-01-01T12:00;16;27
1985-02-01T12:00;52;3
1985-03-01T12:00;70;14
1985-04-01T12:00;21;4
1985-05-01T12:00;58;47
1985-06-01T12:00;46;26
gandalf.thegrey@fotr.org;;
Time;Electrical conductivity;Fluorescence 
1986-01-01T12:00;57;31
1986-02-01T12:00;66;3
1986-03-01T12:00;14;42
1986-04-01T12:00;23;40
1986-05-01T12:00;31;42
1986-06-01T12:00;12;49
aragornII.elassar@fotr.org;;
Time;Electrical conductivity;Fluorescence 
1987-01-01T12:00;13;49
1987-02-01T12:00;56;24
1987-03-01T12:00;14;46
1987-04-01T12:00;2;45
1987-05-01T12:00;47;3
1987-06-01T12:00;3;36
legolas.greenleaf@lotr.org;;
Time;Electrical conductivity;Fluorescence 
1988-01-01T12:00;47;11
1988-02-01T12:00;7;15
1988-03-01T12:00;47;35
1988-04-01T12:00;68;41
1988-05-01T12:00;25;18
1988-06-01T12:00;11;4
gimli.son-golin@lotr.org;;
Time;Electrical conductivity;Fluorescence 
1989-01-01T12:00;2;48
1989-02-01T12:00;5;15
1989-03-01T12:00;63;31
1989-04-01T12:00;43;22
1989-05-01T12:00;60;21
1989-06-01T12:00;15;48
boromir.son-denethor@lotr.org;;
Time;Electrical conductivity;Fluorescence 
1990-01-01T12:00;11;8
1990-02-01T12:00;68;33
1990-03-01T12:00;33;27
1990-04-01T12:00;38;26
1990-05-01T12:00;44;24
1990-06-01T12:00;54;41
sarumar.the-wise@2towers.com;;
Time;Electrical conductivity;Fluorescence 
1991-01-01T12:00;53;46
1991-02-01T12:00;48;2
1991-03-01T12:00;19;47
1991-04-01T12:00;53;34
1991-05-01T12:00;62;37
1991-06-01T12:00;6;39
sauron.the-sorcerer@2towers.com;;
Time;Electrical conductivity;Fluorescence 
1992-01-01T12:00;32;6
1992-02-01T12:00;46;19
1992-03-01T12:00;29;49
1992-04-01T12:00;55;16
1992-05-01T12:00;2;7
1992-06-01T12:00;23;10
elrond.half-elven@tlhheots.org;;
Time;Electrical conductivity;Fluorescence 
1993-01-01T12:00;53;29
1993-02-01T12:00;50;39
1993-03-01T12:00;28;33
1993-04-01T12:00;30;21
1993-05-01T12:00;58;14
1993-06-01T12:00;36;2
arwen.undomiel@tlhheots.org;;
Time;Electrical conductivity;Fluorescence 
1994-01-01T12:00;57;39
1994-02-01T12:00;31;32
1994-03-01T12:00;62;4
1994-04-01T12:00;43;28
1994-05-01T12:00;68;12
1994-06-01T12:00;38;42
aaladriel.of-lorien@thegaladhrim.org;;
Time;Electrical conductivity;Fluorescence 
1995-01-01T12:00;51;22
1995-02-01T12:00;48;19
1995-03-01T12:00;58;8
1995-04-01T12:00;68;14
1995-05-01T12:00;51;47
1995-06-01T12:00;10;37
celeborn.of-lorien@thegaladhrim.org;;
Time;Electrical conductivity;Fluorescence 
1996-01-01T12:00;41;6
1996-02-01T12:00;12;15
1996-03-01T12:00;12;25
1996-04-01T12:00;61;13
1996-05-01T12:00;46;18
1996-06-01T12:00;4;22
theoden.ednew@therohirrim.org;;
Time;Electrical conductivity;Fluorescence 
1997-01-01T12:00;1;37
1997-02-01T12:00;2;41
1997-03-01T12:00;11;33
1997-04-01T12:00;69;38
1997-05-01T12:00;6;12
1997-06-01T12:00;15;9
eomer.eadig@therohirrim.org;;
Time;Electrical conductivity;Fluorescence 
1998-01-01T12:00;10;21
1998-02-01T12:00;17;32
1998-03-01T12:00;42;21
1998-04-01T12:00;58;29
1998-05-01T12:00;1;12
1998-06-01T12:00;62;12
eowyn.dernhelm@therohirrim.org;;
Time;Electrical conductivity;Fluorescence 
1999-01-01T12:00;21;48
1999-02-01T12:00;24;22
1999-03-01T12:00;13;3
1999-04-01T12:00;53;1
1999-05-01T12:00;29;43
1999-06-01T12:00;28;19
thorinii.tharain@tlhheots.org;;
Time;Electrical conductivity;Fluorescence 
2000-01-01T12:00;38;45
2000-02-01T12:00;48;30
2000-03-01T12:00;51;49
2000-04-01T12:00;17;27
2000-05-01T12:00;7;23
2000-06-01T12:00;4;27
balin@tlhheots.org;;
Time;Electrical conductivity;Fluorescence 
2001-01-01T12:00;18;31
2001-02-01T12:00;51;46
2001-03-01T12:00;7;24
2001-04-01T12:00;40;15
2001-05-01T12:00;26;6
2001-06-01T12:00;59;1
dwalin@tlhheots.org;;
Time;Electrical conductivity;Fluorescence 
2002-01-01T12:00;46;35
2002-02-01T12:00;68;7
2002-03-01T12:00;17;49
2002-04-01T12:00;15;36
2002-05-01T12:00;23;46
2002-06-01T12:00;70;20
fili@tlhheots.org;;
Time;Electrical conductivity;Fluorescence 
2003-01-01T12:00;35;10
2003-02-01T12:00;70;49
2003-03-01T12:00;34;42
2003-04-01T12:00;50;42
2003-05-01T12:00;3;48
2003-06-01T12:00;43;28
kili@tlhheots.org;;
Time;Electrical conductivity;Fluorescence 
2004-01-01T12:00;33;50
2004-02-01T12:00;22;2
2004-03-01T12:00;39;5
2004-04-01T12:00;55;28
2004-05-01T12:00;42;28
2004-06-01T12:00;50;43
dori@tlhheots.org;;
Time;Electrical conductivity;Fluorescence 
2005-01-01T12:00;36;6
2005-02-01T12:00;70;17
2005-03-01T12:00;49;18
2005-04-01T12:00;16;25
2005-05-01T12:00;54;34
2005-06-01T12:00;15;33
nori@tlhheots.org;;
Time;Electrical conductivity;Fluorescence 
2006-01-01T12:00;15;18
2006-02-01T12:00;56;30
2006-03-01T12:00;52;7
2006-04-01T12:00;59;6
2006-05-01T12:00;16;16
2006-06-01T12:00;18;18
ori@tlhheots.org;;
Time;Electrical conductivity;Fluorescence 
2007-01-01T12:00;32;25
2007-02-01T12:00;66;12
2007-03-01T12:00;0;5
2007-04-01T12:00;64;38
2007-05-01T12:00;47;29
2007-06-01T12:00;54;6
oin@tlhheots.org;;
Time;Electrical conductivity;Fluorescence 
2008-01-01T12:00;11;34
2008-02-01T12:00;30;29
2008-03-01T12:00;37;14
2008-04-01T12:00;36;25
2008-05-01T12:00;4;15
2008-06-01T12:00;68;15
gloin@tlhheots.org;;
Time;Electrical conductivity;Fluorescence 
2009-01-01T12:00;10;23
2009-02-01T12:00;46;22
2009-03-01T12:00;21;20
2009-04-01T12:00;36;49
2009-05-01T12:00;37;27
2009-06-01T12:00;27;40
bifur@tlhheots.org;;
Time;Electrical conductivity;Fluorescence 
2010-01-01T12:00;5;45
2010-02-01T12:00;67;43
2010-03-01T12:00;44;3
2010-04-01T12:00;44;26
2010-05-01T12:00;15;5
2010-06-01T12:00;59;35
bofur@tlhheots.org;;
Time;Electrical conductivity;Fluorescence 
2011-01-01T12:00;12;25
2011-02-01T12:00;10;35
2011-03-01T12:00;6;28
2011-04-01T12:00;29;27
2011-05-01T12:00;10;32
2011-06-01T12:00;70;38
bombur@tlhheots.org;;
Time;Electrical conductivity;Fluorescence 
2012-01-01T12:00;52;45
2012-02-01T12:00;24;17
2012-03-01T12:00;43;29
